id,topic
-1,Unspecified
0,Outlier
1,Calif_analysis
2,Calif_bankruptcy
3,Calif_utilities
4,Calif_crisis_legal
5,Calif_enron
6,Calif_federal
7,Newsfeed_Calif
8,Calif_legis
9,Daily_business
10,Educational
11,EnronOnline
12,Kitchen_daily
13,Kitchen_fortune
14,Energy_newsfeed
15,General_newsfeed
16,Downfall
17,Downfall_newsfeed
18,Broadband
19,Federal_gov
20,FERC_DOE
21,College_Football
22,Pro_Football
23,India_General
24,India_Dabhol
25,Nine_eleven
26,Nine_Eleven_Analysis
27,Dynegy
28,Sempra
29,Duke
30,El_Paso
31,Pipelines
32,World_energy
